# Energy[keV] FM1[cm2] FM2[cm2] FM3[cm2] 
# Fit_model[FM1] Fit_model[FM2] Fit_model[FM3]
# Fit models are for infinite source distance with
#   a correction factor included to match the model to the data
# [Effective areas as measured at SLTF at 104m finite source distance to X-ray node]
 0.10    -NaN    -NaN    -NaN    4.33    4.20    3.75  
15.93    1.48    1.35    1.07    1.81    1.75    1.56  
16.08    1.45    1.33    1.07    1.79    1.73    1.55  
16.24    1.41    1.34    0.97    1.75    1.70    1.52  
16.39    1.41    1.25    1.02    1.73    1.68    1.50  
16.54    1.34    1.23    0.91    1.69    1.64    1.46  
16.70    1.33    1.24    0.93    1.66    1.61    1.44  
16.85    1.27    1.20    0.91    1.63    1.59    1.42  
17.01    1.24    1.11    0.81    1.59    1.54    1.37  
17.16    1.22    1.01    0.74    1.55    1.51    1.34  
17.31    1.15    1.06    0.73    1.52    1.47    1.31  
17.47    1.11    0.99    0.65    1.47    1.43    1.28  
17.62    1.03    0.92    0.63    1.43    1.39    1.24  
17.77    0.98    0.84    0.58    1.38    1.34    1.19  
17.93    0.90    0.79    0.56    1.32    1.28    1.14  
18.08    0.88    0.74    0.49    1.27    1.23    1.10  
18.23    0.81    0.72    0.43    1.20    1.17    1.04  
18.39    0.81    0.65    0.43    1.15    1.12    1.00  
18.54    0.71    0.62    0.38    1.10    1.07    0.95  
18.70    0.64    0.59    0.34    1.04    1.01    0.90  
18.85    0.62    0.49    0.30    0.99    0.96    0.86  
19.00    0.57    0.48    0.28    0.92    0.89    0.79  
19.16    0.53    0.39    0.24    0.87    0.85    0.76  
19.31    0.46    0.35    0.23    0.82    0.79    0.71  
19.46    0.41    0.35    0.20    0.77    0.75    0.67  
19.62    0.39    0.31    0.17    0.71    0.69    0.61  
