energy,measured_transmission,modeled_transmission
1.00953928925286,0.09510393420553705,1.1814228452063978e-18
1.020318937002875,0.08842986717486444,3.3445171867547246e-18
1.0310985847528897,0.08605177313729338,9.102318509772027e-18
1.0418782325029028,0.08356754040088939,2.3860401626658658e-17
1.0526578802529176,0.07318996483559406,6.03504235841414e-17
1.0634375280029325,0.08356754040088939,1.4753183329022555e-16
1.0742171757529473,0.09299890229261847,3.4912355492872537e-16
1.084996823502964,0.07885722912544957,8.009539505988313e-16
1.095776471252977,0.0848940092961416,1.7839481735726265e-15
1.1065561190029918,0.0755267025954534,3.862612309611942e-15
1.1173357667530066,0.07071099572382947,8.140495786651519e-15
1.1281154145030214,0.07450721954579598,1.671894211385313e-14
1.1388950622530363,0.09860226000257515,3.350000141727408e-14
1.149674710003051,0.0633711346429163,6.555760459667177e-14
1.160454357753066,0.09142431770353711,1.2542482120202843e-13
1.1712340055030808,0.09191061726578995,2.3482444058630375e-13
1.1820136532530956,0.07639782949966854,4.30624144278881e-13
1.1927933010031104,0.035819228951012666,7.741489687604399e-13
1.2035729487531235,0.05564958468910954,1.3654591449420442e-12
1.2143525965031383,0.06881400257255481,2.364830587532071e-12
1.2251322442531531,0.05124316739611065,4.024490536997399e-12
1.2359118920031698,0.05482387696555891,6.734695416369479e-12
1.2466915397531828,0.05817911126588724,1.1089524363116495e-11
1.2574711875031976,0.0509410260789166,1.797932960645321e-11
1.2682508352532125,0.06217892516541699,2.8718657716637955e-11
1.2790304830032273,0.06230479343498261,4.522064912392445e-11
1.2898101307532421,0.04765735710077997,7.02314412182498e-11
1.300589778503257,0.06019521908203185,1.0764093275493967e-10
1.31136942625327,0.05154122608790011,1.6288938773170914e-10
1.3221490740032849,0.03447064862271556,2.434927206724202e-10
1.3329287217533015,0.041690710578617424,3.5971284842113536e-10
1.3437083695033163,0.025124239979597982,5.254031328596049e-10
1.3544880172533293,0.03916135784476825,7.590625727788917e-10
1.3652676650033442,0.03895760468220442,1.085135913473179e-09
1.376047312753359,0.05950136379465741,1.5356000982175153e-09
1.3868269605033738,0.02623359723578215,2.15188034613407e-09
1.3976066082533887,0.03202816690633644,2.98714146111834e-09
1.4083862560034035,0.024977155313628954,4.10900161257529e-09
1.4191659037534183,0.023432595668522526,5.602716643533216e-09
1.4299455515034332,0.027031233284908626,7.574882830641768e-09
1.440725199253448,0.03755487587204321,1.0157704837107161e-08
1.4515048470034628,0.036779897926710325,1.3513873280437027e-08
1.4622844947534777,0.034407001286277404,1.7842092826075726e-08
1.4730641425034907,0.03133874807878978,2.338329699055562e-08
1.4838437902535073,0.030671218691461298,3.042757990164173e-08
1.4946234380035204,0.024516452959660203,3.932186816008611e-08
1.505403085753537,0.018040162918152393,5.057879365314408e-08
1.51618273350355,0.023278362648533404,6.475949598150701e-08
1.5269623812535649,0.01397145425184436,8.238630756209916e-08
1.5377420290035797,0.02544051243517154,1.041631908657163e-07
1.5485216767535945,0.021842624328820563,1.3090874280763436e-07
1.5593013245036094,0.01234007930438744,1.6356946288552094e-07
1.5700809722536242,0.007017217367596049,2.0323373210893724e-07
1.580860620003639,0.010034376333315047,2.511464351321797e-07
1.5916402677536539,0.008833944808777357,3.087241451662063e-07
1.6024199155036687,0.005937868057033852,3.775707790458703e-07
1.6131995632536835,0.005629450447816232,4.5949361850546304e-07
1.6239792110036966,0.0038604101979375586,5.565195834899701e-07
1.6347588587537114,0.0049591788569815325,6.709116343989154e-07
1.6455385065037262,0.003289771541765386,8.051851726939723e-07
1.6563181542537428,0.0038270644620085298,9.621243034401952e-07
1.667097802003756,0.0019406105172920611,1.1447978191974578e-06
1.6778774497537707,0.0032526157755380833,1.3565747623075911e-06
1.6886570975037856,0.003865591956592508,1.6011394220658137e-06
1.6994367452538004,0.003936932341300641,1.8825056245309874e-06
1.7102163930038152,0.004609892991911714,2.2050301757807094e-06
1.72099604075383,0.0058349378813491145,2.5734253242003074e-06
1.731775688503845,0.005093727185781859,2.992770113816473e-06
1.742555336253858,0.002422600216749879,3.4685205086375433e-06
1.7533349840038746,0.0029458531174932677,4.006518177307783e-06
1.7641146317538894,0.0038789805760303885,4.612997837970402e-06
1.7748942795039042,0.002169390589575457,5.294593074908405e-06
1.7856739272539173,0.003105534875263931,6.0583405511025845e-06
1.796453575003932,0.004362698883849986,6.911682554157301e-06
1.807233222753947,0.00361338269468183,7.862467826889456e-06
1.8180128705039618,0.0035658455442332997,8.918950648100089e-06
1.8287925182539766,0.0012590495515861638,1.0089788143451337e-05
1.8395721660039914,0.004961721764815079,2.7621364975683636e-36
1.8503518137540063,0.002289544990853122,5.865913657802304e-36
1.861131461504021,0.001792075922626894,1.2313948834173675e-35
1.871911109254036,0.0034239281983847567,2.555853447469777e-35
1.8826907570040508,0.0029043919844187324,5.246315862316182e-35
1.8934704047540638,0.0012178310636056322,1.0652536662567191e-34
1.9042500525040804,0.0016820009779001763,2.140076762946187e-34
1.9150297002540935,0.002279176404234327,4.254792795163612e-34
1.92580934800411,0.00210721902999616,8.37322562167252e-34
1.9365889957541231,0.0008603035123708495,1.631408255490959e-33
1.947368643504138,0.0017639032304990311,3.147573267760486e-33
1.9581482912541528,0.0019319708534656097,6.014755379526478e-33
1.9689279390041676,0.0009448895962141692,1.1386032969742337e-32
1.9797075867541825,0.0012265187426155955,2.1356031715753473e-32
1.9904872345041973,0.0010078467188611724,3.9695528388411926e-32
2.001266882254212,0.0013277390537858086,7.60597516511605e-32
2.012046530004227,0.00046378921579234183,1.9297360897205087e-31
